序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
17,000854,500原料,6699.44,0.73,48.8,37853538,74506569358.0,4.91,6787.16,6460.39,6489.58,6650.64,0.79
18,000929,800材料,4949.25,0.66,32.47,76284419,152546055075.0,5.07,5007.09,4757.67,4768.54,4916.78,0.73
19,000987,全指材料,5541.48,0.63,34.7,107200976,197696333041.3,4.97,5608.48,5334.64,5349.83,5506.78,0.77
20,000928,中证能源,3202.15,0.63,19.95,21696695,19194326022.2,3.04,3218.61,3121.73,3125.77,3182.2,0.74
21,000909,300材料,4470.55,0.61,27.2,38430882,78039485717.0,5.2,4518.66,4287.72,4292.07,4443.35,0.68
22,000033,上证材料,4072.2,0.6,24.47,45144476,88630092787.0,4.97,4115.66,3914.39,3922.46,4047.73,0.73
23,000122,农业主题,1731.67,0.59,10.24,8247082,7637566701.0,2.96,1755.14,1704.16,1707.38,1721.43,0.64
24,000805,A股资源,8115.06,0.57,45.6,55861469,113292562592.0,5.03,8205.04,7799.1,7810.3,8069.46,0.73
25,000139,上证转债,451.35,0.56,2.52,25411679,45887215236.0,1.61,453.43,446.19,447.73,448.83,0.98
26,000979,大宗商品,7539.67,0.53,39.98,81980658,152234228249.0,4.09,7619.1,7312.29,7332.66,7499.69,0.72
27,000078,电信等权,3782.77,0.51,19.01,17468146,46513334761.0,2.7,3829.61,3727.91,3727.91,3763.76,0.78
28,000114,持续产业,1320.04,0.43,5.59,26091639,40990234078.0,2.39,1332.08,1300.69,1302.47,1314.45,0.87
29,000823,800有色,12218.59,0.38,46.47,46132163,106855429976.0,5.78,12371.27,11667.64,11681.45,12172.12,0.76
30,000961,中证上游,5616.0,0.37,20.44,54769858,118845159590.0,4.97,5677.46,5399.11,5399.11,5595.56,0.75
31,000819,有色金属,10463.08,0.37,38.94,49468501,114922149365.3,5.84,10596.33,9987.54,10002.95,10424.14,0.76
32,000944,内地资源,5902.14,0.36,21.44,54326904,121503572531.0,4.95,5966.0,5675.05,5675.34,5880.7,0.76
33,000068,上证资源,4512.36,0.35,15.85,43020923,83662191020.0,4.32,4552.84,4358.6,4358.6,4496.51,0.73
34,000851,百发100,22254.29,0.33,72.58,17851700,45263267473.0,2.49,22481.29,21928.62,22017.84,22181.71,0.77
35,000026,180资源,6051.35,0.3,18.14,21271503,52495003641.0,4.37,6097.36,5833.75,5833.75,6033.21,0.71
36,000066,上证商品,4003.67,0.28,10.98,48923461,90040817295.0,3.93,4042.71,3885.7,3886.95,3992.69,0.72
37,000689,科创材料,1302.49,0.27,3.56,3544114,15346755734.0,2.97,1321.32,1282.72,1288.51,1298.93,0.83
38,000091,沪财中小,15763.76,0.27,43.01,31037312,52183069147.0,2.18,15908.21,15566.06,15595.2,15720.75,0.93
39,000811,细分有色,12697.89,0.25,31.96,50251827,111121923530.0,5.72,12862.08,12137.38,12154.07,12665.93,0.76
40,000966,基本400,9440.21,0.24,22.2,192945356,347108379606.0,2.73,9536.94,9279.52,9306.21,9418.01,0.79
41,000079,公用等权,2589.68,0.21,5.5,17497518,10635411749.0,1.45,2602.44,2565.06,2573.64,2584.18,0.66
42,000071,材料等权,5613.91,0.2,10.95,45144476,88630092787.0,4.83,5685.61,5415.25,5429.53,5602.96,0.73
43,000856,500工业,8326.21,0.17,13.78,47833473,106934880726.0,3.06,8433.31,8179.15,8220.41,8312.43,0.75
44,000118,380价值,10891.33,0.17,18.79,50458244,49728701463.0,2.37,10999.9,10742.47,10755.56,10872.54,0.71
45,000094,上证上游,5045.14,0.16,8.23,42698547,83161891581.0,4.66,5095.81,4861.3,4861.3,5036.91,0.73
46,000145,优势资源,9208.59,0.14,12.85,36216317,78184328533.0,4.41,9303.48,8897.76,8897.76,9195.74,0.75
47,000995,全指公用,2621.22,0.12,3.16,25026408,15914019263.0,1.17,2631.82,2601.28,2607.88,2618.06,0.68
48,000841,800医药,8484.14,0.09,7.85,7564770,26076754725.0,1.51,8553.86,8425.93,8467.17,8476.29,1.1
49,000102,沪投资品,8386.12,0.09,7.67,46992481,111302843286.0,3.38,8470.46,8187.3,8187.3,8378.45,0.74
50,000099,上证F300,9727.27,0.09,8.41,111455746,175954893658.0,2.19,9822.94,9609.85,9632.39,9718.86,0.81
51,000012,国债指数,225.63,0.08,0.17,36389331,36297004677.0,0.07,225.64,225.48,225.48,225.46,0.92
52,000697,科大湾区,1438.24,0.07,0.95,3522113,21546769943.0,2.79,1458.95,1418.88,1424.0,1437.29,0.86
53,000075,医药等权,7025.99,0.07,4.67,5908070,19972431988.0,1.38,7084.92,6987.94,7027.67,7021.32,1.03
54,000120,380R价值,10586.39,0.07,7.78,104829189,169709341749.0,2.4,10698.94,10444.69,10461.77,10578.61,0.74
55,000113,380公用,3123.0,0.07,2.1,11131529,5111936952.0,2.11,3150.07,3084.25,3097.72,3120.9,0.63
56,000814,细分医药,8438.21,0.06,5.4,6818011,24638059594.0,1.46,8505.29,8382.01,8421.82,8432.81,1.11
57,000949,中证农业,5835.62,0.05,2.81,16179352,20448733362.0,2.24,5895.3,5764.49,5766.22,5832.81,0.62
58,000133,上证150,7418.65,0.05,3.99,20268299,48576292768.0,2.75,7514.11,7310.23,7330.31,7414.66,0.9
59,000160,沪新丝路,2318.42,0.03,0.72,73584830,98099004093.0,2.57,2338.87,2279.35,2279.35,2317.7,0.72
60,000863,CS精准医,2813.66,0.02,0.69,3497800,16113835184.0,2.4,2846.27,2778.67,2800.13,2812.97,0.85
61,000153,上民红利,3353.43,0.02,0.58,6375805,6240324046.0,1.54,3381.61,3330.13,3337.97,3352.85,0.76
62,000802,500沪市,8241.09,0.01,1.0,105306328,177863814011.0,2.54,8335.23,8126.1,8150.2,8240.09,0.76
63,000013,企债指数,303.6,0.01,0.02,3271091,3258931745.0,0.0,303.6,303.6,303.6,303.58,0.37
