index_code,stock_code,weight
930697,688007,0.617
930697,688169,3.281
930697,688662,0.314
930697,688696,0.582
930697,921,1.225
930708,000060,0.876
930708,000426,3.197
930708,000629,0.651
930708,000630,2.434
930708,000688,0.349
930708,000737,0.679
930708,000807,2.561
930708,000831,1.473
930708,000878,1.315
930708,000933,1.892
930708,000960,1.438
930708,000975,2.123
930708,002155,1.481
930708,002171,0.627
930708,002182,0.475
930708,002203,0.735
930708,002237,0.648
930708,002240,0.952
930708,002428,0.672
930708,002460,2.835
930708,002466,2.063
930708,002497,1.041
930708,002532,1.925
930708,002716,1.376
930708,002738,2.257
930708,002756,0.692
930708,002978,0.201
930708,2155,1.481
930708,2171,0.627
930708,2182,0.475
930708,2203,0.735
930708,2237,0.648
930708,2240,0.952
930708,2428,0.672
930708,2460,2.835
930708,2466,2.063
930708,2497,1.041
930708,2532,1.925
930708,2716,1.376
930708,2738,2.257
930708,2756,0.692
930708,2978,0.201
930708,300034,0.355
930708,300428,0.24
930708,300618,0.386
930708,301219,0.316
930708,426,3.197
