序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
438,H11045,AMAC批零,1864.88,-1.0,-18.86,42579629,46263941954.0,1.33,1883.63,1858.49,1870.38,1883.74,0.96
439,H50023,沪工业红,9152.5,-1.01,-93.64,8550700,6985950539.0,0.86,9232.09,9152.5,9210.03,9246.14,0.66
440,931167,先进制造100,8205.37,-1.01,-83.43,15954641,50382806371.0,1.47,8275.41,8153.24,8214.94,8288.8,0.7
441,H50045,180两倍,3021.47,-1.02,-31.17,132823298,265723203715.0,3.03,3062.0,2969.48,2988.19,3052.64,0.71
442,931403,品牌工程,2007.34,-1.03,-20.99,28035581,151350625710.0,1.19,2024.81,2000.6,2012.43,2028.33,0.8
443,H30037,AMAC商务,3865.38,-1.03,-40.34,40720129,45082090991.0,2.76,3916.78,3808.92,3864.75,3905.72,0.79
444,931574,港股科技,1714.5,-1.04,-17.95,15209613,72929707236.7,2.28,1730.91,1691.45,1691.45,1732.45,0.76
445,H50034,沪城基建,1296.04,-1.05,-13.7,36009767,22939855294.0,1.09,1309.16,1294.82,1300.23,1309.74,0.67
446,930661,CSSW互金,3624.22,-1.05,-38.28,35397122,42893381686.0,1.19,3653.35,3609.69,3624.93,3662.5,1.06
447,990001,中华半导体芯片,12935.63,-1.05,-137.24,11589666,83426731042.0,2.3,13108.02,12807.61,12902.96,13072.87,0.72
448,CES300,中华沪深港300,5419.69,-1.06,-58.18,175694379,491257082667.8,1.42,5454.88,5376.97,5392.03,5477.87,0.72
449,932258,亚洲新兴市场科技USD,4499.1,-1.07,-48.81,21167770,21003237912.4,1.33,4535.86,4475.33,4513.4,4547.91,0.72
450,932444,互联互通中国50HKD,1440.1,-1.07,-15.61,45088811,188514134721.2,1.32,1449.3,1430.05,1433.62,1455.71,0.73
451,932081,全指消费行业,13399.16,-1.08,-146.35,37660165,66022114168.0,1.36,13564.48,13379.94,13488.48,13545.51,0.71
452,H50013,沪珠三角,10741.72,-1.08,-117.53,41131045,84011733539.0,1.55,10816.95,10648.43,10671.07,10859.25,0.93
453,932085,全指通信行业,10836.13,-1.08,-118.75,110328743,246835987059.0,3.16,11046.72,10700.82,10821.02,10954.88,0.83
454,932501,互联互通中国50人民币,1613.2,-1.08,-17.6,45088811,167623368500.7,1.31,1623.4,1602.09,1605.69,1630.8,0.73
455,932536,航运发展,2488.28,-1.09,-27.31,23317082,24579683567.0,1.07,2509.86,2482.93,2498.96,2515.59,0.74
456,931228,亚洲新兴市场科技,5013.36,-1.09,-55.3,21167770,145768762492.0,1.32,5053.99,4987.3,5030.2,5068.66,0.72
457,931596,SHS张江50,1994.21,-1.09,-22.0,13770811,52594621206.5,1.86,2020.27,1982.85,1993.37,2016.21,0.82
458,932087,集成电路,1201.58,-1.1,-13.36,11247497,85117840223.0,2.57,1217.89,1186.67,1197.28,1214.94,0.66
459,932592,互联互通中国50,1600.7,-1.1,-17.83,45088811,167484652972.5,1.29,1610.75,1589.81,1593.06,1618.53,0.73
460,932462,互联互通中国50USD,1429.75,-1.1,-15.85,45088811,24132020459.1,1.3,1438.87,1420.01,1423.09,1445.6,0.73
461,H30182,计算机,7938.8,-1.1,-88.37,36280625,77983987605.0,2.44,8066.72,7870.9,7959.58,8027.17,0.85
462,H30552,沪港深通TMT,5458.91,-1.11,-61.29,241676546,668443667291.1,2.3,5529.08,5402.01,5430.95,5520.2,0.81
463,H11042,AMAC建筑,1650.92,-1.14,-18.96,31070505,21334675778.0,1.01,1667.31,1650.42,1658.98,1669.88,0.68
464,H30535,互联网,5079.94,-1.15,-59.23,39763764,143254088081.0,2.81,5174.1,5029.77,5081.24,5139.17,0.82
465,H30403,300日报酬两倍,2912.97,-1.15,-33.85,202716477,505759806238.0,3.06,2956.72,2866.44,2886.95,2946.82,0.73
466,H30082,300两倍,1304.01,-1.16,-15.32,202716477,505759806238.0,3.06,1323.6,1283.18,1292.36,1319.33,0.73
467,930821,中证VR,3269.07,-1.16,-38.23,34526762,69812048039.0,2.68,3313.6,3225.0,3265.95,3307.3,0.83
468,930720,CS互医疗,2721.05,-1.17,-32.35,6884480,7631715036.0,1.45,2755.86,2716.05,2740.53,2753.4,0.93
469,931852,每经品牌100,1121.74,-1.2,-13.6,72198534,167388349292.2,1.64,1134.95,1116.3,1134.94,1135.34,0.68
470,931469,云计算50,3828.23,-1.2,-46.48,23230587,85737848900.0,3.16,3901.42,3778.95,3832.42,3874.71,0.89
471,CESCPD,中华内房股,1369.9,-1.21,-16.8,7454172,2508038300.0,1.21,1377.88,1361.08,1374.45,1386.7,0.4
472,931775,房地产,3086.42,-1.22,-38.19,34087723,18491949169.0,1.37,3118.52,3075.58,3101.54,3124.61,0.72
473,930712,CS物联网,4252.15,-1.22,-52.39,15084457,87625698458.0,2.03,4310.93,4223.38,4257.38,4304.54,0.71
474,930930,港股综合,3851.76,-1.24,-48.26,102950750,166279321600.1,1.66,3876.2,3811.48,3824.85,3900.02,0.72
475,H11047,AMAC地产,1676.97,-1.24,-21.0,34163660,18082062551.0,1.36,1694.91,1671.76,1685.96,1697.97,0.72
476,932094,软件开发,947.99,-1.24,-11.87,21025207,50303530894.0,2.18,963.29,942.34,952.12,959.86,0.82
477,931752,工程机械主题,2756.36,-1.25,-34.93,10197252,16764415513.0,1.82,2786.31,2735.39,2766.96,2791.29,0.71
