fund_code,index_code,effective_weight
002120,000300,0.3
002120,中证全债指数,0.7
002121,000300,0.45
002121,中证全债指数,0.1
002123,000906,0.6
002123,中证全债指数,0.4
002124,000906,0.65
002125,000906,0.65
002132,000300,0.3
002132,中证全债指数,0.7
002133,000300,0.3
002133,中证全债指数,0.7
002134,000300,0.3
002134,中证全债指数,0.7
002135,000300,0.3
002135,中证全债指数,0.7
002136,000300,0.3
002136,中证全债指数,0.7
002137,000300,0.6
002137,中证全债指数,0.4
002142,000300,0.6
002145,000300,0.6
002145,中证全债指数,0.4
002146,000300,0.15
002147,000300,0.15
002148,000300,0.6
002149,000300,0.5
002152,000012,0.45
002152,000300,0.55
002156,000300,0.5
002156,中证全债指数,0.5
002157,000300,0.5
002157,中证全债指数,0.5
002158,000300,0.5
002159,399974,0.5
002160,000012,0.4
002160,000300,0.6
002161,H30535,0.5
002161,中证全债指数,0.5
002163,000300,0.45
002164,000300,0.5
002165,000300,0.5
002170,399970,0.5
002172,000012,0.5
002174,000300,0.6
002176,000300,0.4
002178,000300,0.5
002179,000906,0.75
002181,000906,0.5
002182,000300,0.6
002186,000012,0.5
002186,000300,0.5
002189,399974,0.65
002189,中证全债指数,0.35
002190,399808,0.65
002190,中证全债指数,0.35
002196,000300,0.5
002196,中证全债指数,0.5
002197,000300,0.5
002197,中证全债指数,0.5
002199,399967,0.95
002207,000300,0.6
002207,中证全债指数,0.4
002210,000852,0.9
002211,000300,0.5
002212,000300,0.5
002213,000300,0.5
002213,中证全债指数,0.5
002214,000300,0.45
002214,HSI,0.45
002214,中证全债指数,0.1
002216,000012,0.4
002216,000300,0.6
002217,000012,0.4
002217,000300,0.6
002222,000300,0.5
002227,000906,0.15
002228,000906,0.15
002229,000012,0.1
002229,000300,0.9
002230,000012,0.4
002230,CAWCA,0.3
002230,XIAH,0.3
002233,000300,0.3
002236,399415,0.95
002236,930734,1.0
002244,000985,0.5
002244,中证全债指数,0.5
002249,000300,0.5
002251,000012,0.5
002251,399973,0.5
002252,000300,0.5
002256,000300,0.5
002256,中证全债指数,0.5
002258,000300,0.6
002259,000827,0.4
002259,000933,0.4
002259,中证全债指数,0.2
002264,000012,0.5
002264,000933,0.5
002270,000905,0.65
002271,000300,0.5
002272,000906,0.7
002272,中证全债指数,0.3
002273,中证全债指数,1.0
002281,000300,0.65
002282,000300,0.5
